scope,audit_subset,pair,feature_idx,n_samples,gradxinput_mean,gradxinput_median,gradxinput_positive_frac,abs_gradxinput_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
pair_subset,all_wrong_high_conf,Benign→Ransomware,34,1,0.011276384815573692,0.011276384815573692,1.0,0.011276384815573692,psxview.not_in_csrss_handles,discrete_compact_offset0,0.0014506357197713,0.5384615384615384,0.4422737565803443,0.437494666780442
pair_subset,all_wrong_high_conf,Benign→Ransomware,35,1,0.013277018442749977,0.013277018442749977,1.0,0.013277018442749977,psxview.not_in_session,discrete_compact_offset0,0.0003839918081747,0.225,0.4810606180111996,0.4981013738373581
pair_subset,all_wrong_high_conf,Benign→Ransomware,36,1,-0.006194928660988808,-0.006194928660988808,0.0,0.006194928660988808,psxview.not_in_deskthrd,discrete_compact_offset0,0.0013439713286116,0.5121951219512195,0.4825476873298571,0.3869357453707654
pair_subset,all_wrong_high_conf,Benign→Ransomware,37,1,-0.012227182276546955,-0.012227182276546955,0.0,0.012227182276546955,psxview.not_in_pslist_false_avg,rank_uniform_offset,0.0,0.0,0.5649092917914776,0.4458144892908951
pair_subset,all_wrong_high_conf,Benign→Ransomware,38,1,-0.008939986117184162,-0.008939986117184162,0.0,0.008939986117184162,psxview.not_in_eprocess_pool_false_avg,keep_current,0.003690587934124,0.9559748427672956,0.0109554845766252,0.9949227749808004
pair_subset,all_wrong_high_conf,Benign→Ransomware,39,1,-0.00687890499830246,-0.00687890499830246,0.0,0.00687890499830246,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,0.0,0.0,0.6078890526288423,0.3878530591347384
pair_subset,all_wrong_high_conf,Benign→Ransomware,40,1,-0.007322199642658234,-0.007322199642658234,0.0,0.007322199642658234,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,0.0,0.0,0.5651203929512788,0.4457504906561993
pair_subset,all_wrong_high_conf,Benign→Ransomware,41,1,-0.05159871280193329,-0.05159871280193329,0.0,0.05159871280193329,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,0.0,0.0,0.765277320469504,0.0618866797508319
pair_subset,all_wrong_high_conf,Benign→Ransomware,42,1,0.5583983063697815,0.5583983063697815,1.0,0.5583983063697815,psxview.not_in_session_false_avg,rank_uniform_offset,0.0,0.0,0.7579223476549959,0.0644679580168956
pair_subset,all_wrong_high_conf,Benign→Ransomware,43,1,-0.04974643513560295,-0.04974643513560295,0.0,0.04974643513560295,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,0.0,0.0,0.7731383545067176,0.0613960235514975
