feature,split,strategy,K,raw_unique,bins_used,dead_bins,dead_bins_ratio,possible_unique,preserve_ratio,compression_factor,entropy_norm,dominant_bin_ratio,rare_bins_le5,rare_used_bin_ratio_le5,rare_sample_ratio_le5,offset_nonzero_ratio,offset_zero_ratio,offset_unique_count_rounded_1e6,offset_mean,offset_std,integer_position_ratio_inferred,used_even_bins,used_odd_bins,used_odd_bin_ratio,occupied_gap_mean,occupied_gap_max,occupied_gap_min,compact_n_unique,compact_unseen_val_count,compact_offset_zero,original_c2_strategy,effective_strategy,feature_index,abs_min,abs_max,abs_constant,abs_uses_K_minus_1,constant
psxview.not_in_pspcid_list,train,discrete_compact_offset0,1024,40,40,984,0.9609375,40,1.0,1.0,0.4812722049435046,0.4978667121768069,9,0.225,0.00042665756463862106,0.0,1.0,1,0.0,0.0,1.0,20,20,0.5,1.0,1,1,40.0,5.0,True,discrete_compact_offset0,discrete_compact_offset0,33,,,,,
psxview.not_in_csrss_handles,train,discrete_compact_offset0,1024,78,78,946,0.923828125,78,1.0,1.0,0.44227375658034435,0.437494666780442,42,0.5384615384615384,0.0014506357197713116,0.0,1.0,1,0.0,0.0,1.0,39,39,0.5,1.0,1,1,78.0,8.0,True,discrete_compact_offset0,discrete_compact_offset0,34,,,,,
psxview.not_in_session,train,discrete_compact_offset0,1024,40,40,984,0.9609375,40,1.0,1.0,0.4810606180111996,0.49810137383735814,9,0.225,0.0003839918081747589,0.0,1.0,1,0.0,0.0,1.0,20,20,0.5,1.0,1,1,40.0,3.0,True,discrete_compact_offset0,discrete_compact_offset0,35,,,,,
psxview.not_in_deskthrd,train,discrete_compact_offset0,1024,82,82,942,0.919921875,82,1.0,1.0,0.4825476873298571,0.3869357453707654,42,0.5121951219512195,0.0013439713286116563,0.0,1.0,1,0.0,0.0,1.0,41,41,0.5,1.0,1,1,82.0,8.0,True,discrete_compact_offset0,discrete_compact_offset0,36,,,,,
psxview.not_in_pslist_false_avg,train,rank_replaced_by_abs_uniform_control,1024,7781,569,455,0.4443359375,1024,0.5556640625,13.674868189806679,0.5420011677532909,0.44681713456779587,169,0.29701230228471004,0.009151804761498421,0.5544841710043519,0.44551582899564807,7743,0.2556900978088379,0.30555459856987,0.44551582899564807,283,286,0.5026362038664324,1.801056338028169,74,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,37,0.0,0.551282051,False,True,
psxview.not_in_eprocess_pool_false_avg,train,keep_current,1024,159,145,879,0.8583984375,159,0.9119496855345912,1.096551724137931,0.011063447230060077,0.9949227749808004,138,0.9517241379310345,0.003669255055892141,0.005034559262735728,0.9949654407372642,158,0.002377163851633668,0.039184533059597015,0.9949654407372642,76,69,0.47586206896551725,7.104166666666667,268,1,,,,keep_current,keep_current,38,0.0,0.043478261,False,True,
psxview.not_in_ethread_pool_false_avg,train,rank_replaced_by_abs_uniform_control,1024,8346,532,492,0.48046875,1024,0.51953125,15.68796992481203,0.5693216561328808,0.3893250277327417,220,0.41353383458646614,0.008853144466251387,0.6124669340387405,0.38753306596125947,8287,0.29046499729156494,0.3184119760990143,0.38753306596125947,271,261,0.4906015037593985,1.926553672316384,49,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,39,0.0,0.8375,False,True,
psxview.not_in_pspcid_list_false_avg,train,rank_replaced_by_abs_uniform_control,1024,7783,358,666,0.650390625,1024,0.349609375,21.74022346368715,0.5501241762669746,0.44796910999232015,103,0.2877094972067039,0.00445857155047359,0.5409164604488438,0.4590835395511562,7701,0.29124748706817627,0.33484914898872375,0.4590835395511562,179,179,0.5,2.865546218487395,313,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,40,0.0,1.0,False,True,
psxview.not_in_csrss_handles_false_avg,train,rank_replaced_by_abs_uniform_control,1024,9458,546,478,0.466796875,1024,0.533203125,17.32234432234432,0.7195701266236822,0.06348664561822681,210,0.38461538461538464,0.008426486901612766,0.9999573342435362,4.26657564638621e-05,9424,0.5263683199882507,0.25251734256744385,4.26657564638621e-05,273,273,0.5,1.8770642201834862,41,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,41,0.025806452,0.854166667,False,True,
psxview.not_in_session_false_avg,train,rank_replaced_by_abs_uniform_control,1024,9559,607,417,0.4072265625,1024,0.5927734375,15.747940691927512,0.7111152060239037,0.06811588019455585,198,0.3261943986820428,0.009877122621384076,0.9999573342435362,4.26657564638621e-05,9513,0.595857560634613,0.2711961567401886,4.26657564638621e-05,295,312,0.514003294892916,1.688118811881188,66,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,42,0.008333333,0.576923077,False,True,
