audit_subset,pair,feature_idx,feature,strategy,n_samples,scope,last_cls_attention_mean,last_cls_attention_median,rollout_attention_mean,rollout_attention_median
model_amplification,ALL,30,psxview.not_in_pslist,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,31,psxview.not_in_eprocess_pool,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,31,psxview.not_in_eprocess_pool,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,31,psxview.not_in_eprocess_pool,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,31,psxview.not_in_eprocess_pool,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,31,psxview.not_in_eprocess_pool,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,32,psxview.not_in_ethread_pool,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,32,psxview.not_in_ethread_pool,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,32,psxview.not_in_ethread_pool,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,32,psxview.not_in_ethread_pool,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,32,psxview.not_in_ethread_pool,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,33,psxview.not_in_pspcid_list,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,33,psxview.not_in_pspcid_list,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,33,psxview.not_in_pspcid_list,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,33,psxview.not_in_pspcid_list,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,33,psxview.not_in_pspcid_list,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,34,psxview.not_in_csrss_handles,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,34,psxview.not_in_csrss_handles,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,34,psxview.not_in_csrss_handles,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,34,psxview.not_in_csrss_handles,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,34,psxview.not_in_csrss_handles,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,35,psxview.not_in_session,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,35,psxview.not_in_session,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,35,psxview.not_in_session,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,35,psxview.not_in_session,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,35,psxview.not_in_session,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,36,psxview.not_in_deskthrd,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,36,psxview.not_in_deskthrd,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,36,psxview.not_in_deskthrd,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,36,psxview.not_in_deskthrd,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,36,psxview.not_in_deskthrd,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,37,psxview.not_in_pslist_false_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,37,psxview.not_in_pslist_false_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,37,psxview.not_in_pslist_false_avg,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,37,psxview.not_in_pslist_false_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,37,psxview.not_in_pslist_false_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,38,psxview.not_in_eprocess_pool_false_avg,keep_current,320,subset,,,,
cls_ood_confident,ALL,38,psxview.not_in_eprocess_pool_false_avg,keep_current,320,subset,,,,
