run,split,feature,strategy_C2,strategy,bins_used,bins_used_C2,bins_used_delta_vs_C2,used_bin_ratio,used_bin_ratio_C2,used_bin_ratio_delta_vs_C2,dominant_bin_ratio,dominant_bin_ratio_C2,dominant_bin_ratio_delta_vs_C2,rare_used_bin_ratio_le5,rare_used_bin_ratio_le5_C2,rare_used_bin_ratio_le5_delta_vs_C2,rare_cell_ratio_trainref_le5,rare_cell_ratio_trainref_le5_C2,rare_cell_ratio_trainref_le5_delta_vs_C2,unseen_cell_ratio_trainref,unseen_cell_ratio_trainref_C2,unseen_cell_ratio_trainref_delta_vs_C2,entropy_norm,entropy_norm_C2,entropy_norm_delta_vs_C2,compression_factor,compression_factor_C2,compression_factor_delta_vs_C2,offset_nonzero_ratio,offset_nonzero_ratio_C2,offset_nonzero_ratio_delta_vs_C2,offset_std,offset_std_C2,offset_std_delta_vs_C2
K1024_ABS_CONTROL,train,pslist.nproc,discrete_compact_offset0,unknown,105,105,0,0.1025390625,0.205078125,-0.1025390625,0.1704496970731291,0.1704496970731291,0.0,0.47619047619047616,0.47619047619047616,0.0,0.0014933014762351737,0.0014933014762351737,0.0,0.0,0.0,0.0,0.5634949111118889,0.5634949111118889,0.0,446.43809523809523,446.43809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,pslist.nppid,discrete_compact_offset0,unknown,48,48,0,0.046875,0.09375,-0.046875,0.28150866114856216,0.28150866114856216,0.0,0.5625,0.5625,0.0,0.0010026452769007594,0.0010026452769007594,0.0,0.0,0.0,0.0,0.5190073122926573,0.5190073122926573,0.0,976.5833333333334,976.5833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,pslist.nprocs64bit,constant,unknown,1,1,0,0.0009765625,0.001953125,-0.0009765625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,46876.0,46876.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,handles.nport,constant,unknown,1,1,0,0.0009765625,0.001953125,-0.0009765625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,46876.0,46876.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,handles.ndesktop,discrete_compact_offset0,unknown,60,60,0,0.05859375,0.1171875,-0.05859375,0.16539380493216144,0.16539380493216144,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0003839918081747589,0.0003839918081747589,0.0,0.0,0.0,0.0,0.6624280875401419,0.6624280875401419,0.0,781.2666666666667,781.2666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,handles.ndirectory,discrete_compact_offset0,unknown,104,104,0,0.1015625,0.203125,-0.1015625,0.09985920300366925,0.09985920300366925,0.0,0.20192307692307693,0.20192307692307693,0.0,0.0010026452769007594,0.0010026452769007594,0.0,0.0,0.0,0.0,0.7041268139226854,0.7041268139226854,0.0,450.7307692307692,450.7307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,handles.ntimer,discrete_compact_offset0,unknown,123,123,0,0.1201171875,0.240234375,-0.1201171875,0.08565150610120317,0.08565150610120317,0.0,0.24390243902439024,0.24390243902439024,0.0,0.0013866370850755185,0.0013866370850755185,0.0,0.0,0.0,0.0,0.7453838702633432,0.7453838702633432,0.0,381.1056910569106,381.1056910569106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,handles.nmutant,keep_current,unknown,405,405,0,0.3955078125,0.791015625,-0.3955078125,0.0551668231077737,0.0551668231077737,0.0,0.145679012345679,0.145679012345679,0.0,0.00243194811844014,0.00243194811844014,0.0,0.0,0.0,0.0,0.8406808847073096,0.8406808847073096,0.0,115.7432098765432,115.7432098765432,0.0,0.805380151890093,0.9999786671217681,-0.19459851523167504,0.2871685326099396,0.2746540307998657,0.012514501810073853
K1024_ABS_CONTROL,train,ldrmodules.not_in_load,keep_current,unknown,145,145,0,0.1416015625,0.283203125,-0.1416015625,0.07080382285177916,0.07080382285177916,0.0,0.2,0.2,0.0,0.001599965867394829,0.001599965867394829,0.0,0.0,0.0,0.0,0.7895089801002002,0.7895089801002002,0.0,323.28275862068966,323.28275862068966,0.0,0.9999360013653043,0.9738032255311887,0.02613277583411555,0.2886631488800049,0.2882986068725586,0.00036454200744628906
K1024_ABS_CONTROL,train,ldrmodules.not_in_init,keep_current,unknown,180,180,0,0.17578125,0.3515625,-0.17578125,0.05107091048724294,0.05107091048724294,0.0,0.2111111111111111,0.2111111111111111,0.0,0.0020266234320334498,0.0020266234320334498,0.0,0.0,0.0,0.0,0.8092464216563752,0.8092464216563752,0.0,260.4222222222222,260.4222222222222,0.0,0.9686406689990613,0.9982080382285178,-0.029567369229456464,0.3081662654876709,0.2928016483783722,0.015364617109298706
