run,split,feature_idx,feature,strategy,num_bins,bins_used,dead_bins,used_bin_ratio,dominant_bin,dominant_bin_count,dominant_bin_ratio,rare_used_bins_le5,rare_used_bin_ratio_le5,rare_cell_ratio_own_le5,rare_cell_ratio_trainref_le5,unseen_cell_ratio_trainref,entropy_norm,compression_factor,offset_nonzero_ratio,offset_mean,offset_std,offset_unique_approx,class_Benign_bins_used,class_Benign_dominant_ratio,class_Benign_rare_trainref_ratio,class_Ransomware_bins_used,class_Ransomware_dominant_ratio,class_Ransomware_rare_trainref_ratio,class_Spyware_bins_used,class_Spyware_dominant_ratio,class_Spyware_rare_trainref_ratio,class_Trojan_bins_used,class_Trojan_dominant_ratio,class_Trojan_rare_trainref_ratio
K1024_RANK_SAFE,train,39,psxview.not_in_ethread_pool_false_avg,unknown,1024,1024,0,1.0,0,18173,0.387682396108883,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.572208669755728,45.77734375,0.6124669340387405,0.2842923402786255,0.3173765540122986,8345,1004,0.4426998890690332,0.0015359672326990357,194,0.3269918283963228,0.029877425944841676,221,0.33907185628742514,0.033557884231536925,140,0.33175230566534913,0.018972332015810278
K1024_RANK_SAFE,train,40,psxview.not_in_pspcid_list_false_avg,unknown,1024,1024,0,1.0,0,20887,0.44557982763034387,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.5316284601918826,45.77734375,0.5545055038825838,0.2755899429321289,0.3403906226158142,2594,1012,0.48856557726768496,0.0015359672326990357,218,0.421220633299285,0.035240040858018386,235,0.41404690618762474,0.033932135728542916,140,0.37127799736495387,0.015546772068511199
K1024_RANK_SAFE,train,41,psxview.not_in_csrss_handles_false_avg,unknown,1024,1024,0,1.0,162,2892,0.061694683846744605,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.7176664076464363,45.77734375,0.9999573342435362,0.4942893385887146,0.2681761085987091,9457,1007,0.09203003669255055,0.0007679836163495178,194,0.08184371807967314,0.025408580183861083,225,0.07372754491017965,0.03418163672654691,150,0.09090909090909091,0.01989459815546772
K1024_RANK_SAFE,train,42,psxview.not_in_session_false_avg,unknown,1024,1024,0,1.0,205,3013,0.06427596211280825,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.7122199220817318,45.77734375,0.9999146684870722,0.4919072985649109,0.269607812166214,3186,1012,0.09215803396194215,0.00029866029524703474,217,0.08350357507660879,0.0339632277834525,236,0.07734530938123753,0.03056387225548902,155,0.091699604743083,0.017918313570487482
K1024_RANK_SAFE,train,43,psxview.not_in_deskthrd_false_avg,unknown,1024,1024,0,1.0,238,2869,0.06120402764741019,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.7251749373857926,45.77734375,0.9999146684870722,0.512470543384552,0.26115667819976807,3218,1005,0.09194470517962283,0.0007253178598856558,195,0.07852400408580183,0.02477017364657814,237,0.06661676646706587,0.03156187624750499,160,0.08880105401844532,0.017523056653491437
K1024_RANK_SAFE,train,44,modules.nmodules,unknown,1024,3,1021,0.0029296875,2,45067,0.9614088232784367,1,0.3333333333333333,2.133287823193105e-05,2.133287823193105e-05,0.0,0.14893518717180834,15625.333333333334,0.0,0.0,0.0,1,2,0.9852376482635037,0.0,2,0.9452247191011236,0.0,3,0.9089321357285429,0.000124750499001996,2,0.9599472990777339,0.0
K1024_RANK_SAFE,train,45,svcscan.nservices,unknown,1024,30,994,0.029296875,23,21808,0.4652274084819524,16,0.5333333333333333,0.0005759877122621384,0.0005759877122621384,0.0,0.34744347878889764,1562.5333333333333,0.0,0.0,0.0,1,8,0.7336803481525728,0.0,24,0.9360316649642493,0.003192032686414709,13,0.8995758483033932,0.001746506986027944,8,0.9548089591567852,0.001054018445322793
K1024_RANK_SAFE,train,46,svcscan.kernel_drivers,unknown,1024,19,1005,0.0185546875,18,23354,0.4982080382285178,12,0.631578947368421,0.0003413260517108968,0.0003413260517108968,0.0,0.28582173062486177,2467.157894736842,0.0,0.0,0.0,1,3,0.9940694598515232,0.0,15,0.9387129724208376,0.0020429009193054137,9,0.9024451097804391,0.0007485029940119761,5,0.9573122529644269,0.00026350461133069827
K1024_RANK_SAFE,train,47,svcscan.fs_drivers,unknown,1024,10,1014,0.009765625,9,46831,0.9990400204795631,7,0.7,0.0001706630258554484,0.0001706630258554484,0.0,0.003866070213091662,4687.6,0.0,0.0,0.0,1,1,1.0,0.0,7,0.9952757916241062,0.0006384065372829418,5,0.999251497005988,0.0007485029940119761,2,0.9997364953886693,0.00026350461133069827
K1024_RANK_SAFE,train,48,svcscan.process_services,unknown,1024,14,1010,0.013671875,10,27688,0.590664732485707,6,0.42857142857142855,0.00025599453878317265,0.00025599453878317265,0.0,0.32624826091225567,3348.285714285714,0.0,0.0,0.0,1,4,0.73453366328185,0.0,11,0.9370531154239019,0.0010214504596527069,6,0.905688622754491,0.0007485029940119761,4,0.9563899868247694,0.00026350461133069827
K1024_RANK_SAFE,train,49,svcscan.shared_process_services,unknown,1024,22,1002,0.021484375,21,23354,0.4982080382285178,14,0.6363636363636364,0.00046932332110248315,0.00046932332110248315,0.0,0.2762666726609017,2130.7272727272725,0.0,0.0,0.0,1,5,0.9940694598515232,0.0,17,0.9370531154239019,0.0020429009193054137,10,0.8998253493013972,0.0007485029940119761,6,0.9552042160737813,0.00026350461133069827
K1024_RANK_SAFE,train,50,svcscan.interactive_process_services,unknown,1024,1,1023,0.0009765625,0,46876,1.0,0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,46876.0,0.0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0
K1024_RANK_SAFE,train,51,svcscan.nactive,unknown,1024,34,990,0.033203125,27,11396,0.24310948033108626,14,0.4117647058823529,0.0005119890775663453,0.0005119890775663453,0.0,0.6257817858570436,1378.7058823529412,0.0,0.0,0.0,1,15,0.42426828227664476,4.26657564638621e-05,25,0.31843718079673133,0.002425944841675179,19,0.3410678642714571,0.000873253493013972,15,0.36100131752305664,0.00026350461133069827
K1024_RANK_SAFE,train,52,callbacks.ncallbacks,unknown,1024,13,1011,0.0126953125,11,20049,0.42770287567198567,4,0.3076923076923077,0.00014933014762351737,0.00014933014762351737,0.0,0.44011199341175156,3605.846153846154,0.0,0.0,0.0,1,2,0.7380322553118867,0.0,12,0.47880490296220635,0.0005107252298263534,10,0.4441117764471058,0.000499001996007984,8,0.48563899868247695,0.00013175230566534913
K1024_RANK_SAFE,train,53,callbacks.nanonymous,unknown,1024,2,1022,0.001953125,0,46836,0.9991466848707228,0,0.0,0.0,0.0,0.0,0.009929783324449003,23438.0,0.0,0.0,0.0,1,1,1.0,0.0,2,0.9969356486210419,0.0,1,1.0,0.0,2,0.9978919631093545,0.0
K1024_RANK_SAFE,train,54,callbacks.ngeneric,unknown,1024,2,1022,0.001953125,1,46870,0.9998720027306084,0,0.0,0.0,0.0,0.0,0.0018398586095722102,23438.0,0.0,0.0,0.0,1,1,1.0,0.0,2,0.999361593462717,0.0006384065372829418,2,0.999875249500998,0.000124750499001996,1,1.0,0.0
K1024_RANK_SAFE,val,0,pslist.nproc,unknown,1024,68,956,0.06640625,20,2022,0.17252559726962458,24,0.35294117647058826,0.0036689419795221845,0.0015358361774744026,0.0,0.6166524969519535,172.35294117647058,0.0,0.0,0.0,1,46,0.20204778156996586,0.0,48,0.14599285349668198,0.0030627871362940277,49,0.1501996007984032,0.00499001996007984,28,0.17817606747496045,0.0010542962572482868
